02-21 00:15:58 [INFO] zhenxun | 加载配置完成，共加载 43 个配置组及对应 127 个配置项
02-21 00:16:07 [SUCCESS] nonebot | Succeeded to load plugin "hooks:withdraw_hook" from "zhenxun.builtin_plugins.hooks.withdraw_hook"
02-21 00:16:07 [SUCCESS] nonebot | Succeeded to load plugin "hooks:call_hook" from "zhenxun.builtin_plugins.hooks.call_hook"
02-21 00:16:07 [SUCCESS] nonebot | Succeeded to load plugin "hooks" from "zhenxun.builtin_plugins.hooks"
02-21 00:16:07 [SUCCESS] nonebot | Succeeded to load plugin "nickname" from "zhenxun.builtin_plugins.nickname"
02-21 00:16:07 [SUCCESS] nonebot | Succeeded to load plugin "plugin_store" from "zhenxun.builtin_plugins.plugin_store"
02-21 00:16:09 [SUCCESS] nonebot | Succeeded to load plugin "web_ui" from "zhenxun.builtin_plugins.web_ui"
02-21 00:16:09 [SUCCESS] nonebot | Succeeded to load plugin "bt" from "zhenxun.plugins.bt"
02-21 00:16:09 [SUCCESS] nonebot | Succeeded to load plugin "black_word:data_source" from "zhenxun.plugins.black_word.data_source"
02-21 00:16:09 [SUCCESS] nonebot | Succeeded to load plugin "black_word:model" from "zhenxun.plugins.black_word.model"
02-21 00:16:09 [SUCCESS] nonebot | Succeeded to load plugin "black_word:black_watch" from "zhenxun.plugins.black_word.black_watch"
02-21 00:16:09 [SUCCESS] nonebot | Succeeded to load plugin "black_word:black_word" from "zhenxun.plugins.black_word.black_word"
02-21 00:16:09 [SUCCESS] nonebot | Succeeded to load plugin "black_word:utils" from "zhenxun.plugins.black_word.utils"
02-21 00:16:09 [SUCCESS] nonebot | Succeeded to load plugin "black_word" from "zhenxun.plugins.black_word"
02-21 00:16:09 [SUCCESS] nonebot | Succeeded to load plugin "pixiv_rank_search" from "zhenxun.plugins.pixiv_rank_search"
02-21 00:16:09 [SUCCESS] nonebot | Succeeded to load plugin "github_sub" from "zhenxun.plugins.github_sub"
02-21 00:16:09 [SUCCESS] nonebot | Succeeded to load plugin "group_welcome_msg" from "zhenxun.plugins.group_welcome_msg"
02-21 00:16:10 [SUCCESS] nonebot | Succeeded to load plugin "ai" from "zhenxun.plugins.ai"
02-21 00:16:10 [SUCCESS] nonebot | Succeeded to load plugin "open_cases" from "zhenxun.plugins.open_cases"
02-21 00:16:10 [SUCCESS] nonebot | Succeeded to load plugin "quotations" from "zhenxun.plugins.quotations"
02-21 00:16:10 [SUCCESS] nonebot | Succeeded to load plugin "gold_redbag" from "zhenxun.plugins.gold_redbag"
02-21 00:16:10 [SUCCESS] nonebot | Succeeded to load plugin "search_image" from "zhenxun.plugins.search_image"
02-21 00:16:12 [SUCCESS] nonebot | Succeeded to load plugin "word_clouds" from "zhenxun.plugins.word_clouds"
02-21 00:16:12 [SUCCESS] nonebot | Succeeded to load plugin "what_anime" from "zhenxun.plugins.what_anime"
02-21 00:16:12 [SUCCESS] nonebot | Succeeded to load plugin "pix_gallery:pix_show_info" from "zhenxun.plugins.pix_gallery.pix_show_info"
02-21 00:16:12 [SUCCESS] nonebot | Succeeded to load plugin "pix_gallery:pix_add_keyword" from "zhenxun.plugins.pix_gallery.pix_add_keyword"
02-21 00:16:12 [SUCCESS] nonebot | Succeeded to load plugin "pix_gallery:pix" from "zhenxun.plugins.pix_gallery.pix"
02-21 00:16:12 [SUCCESS] nonebot | Succeeded to load plugin "pix_gallery:pix_pass_del_keyword" from "zhenxun.plugins.pix_gallery.pix_pass_del_keyword"
02-21 00:16:12 [SUCCESS] nonebot | Succeeded to load plugin "pix_gallery:pix_update" from "zhenxun.plugins.pix_gallery.pix_update"
02-21 00:16:12 [SUCCESS] nonebot | Succeeded to load plugin "pix_gallery" from "zhenxun.plugins.pix_gallery"
02-21 00:16:12 [SUCCESS] nonebot | Succeeded to load plugin "wbtop" from "zhenxun.plugins.wbtop"
02-21 00:16:13 [SUCCESS] nonebot | Succeeded to load plugin "send_setu_:send_setu" from "zhenxun.plugins.send_setu_.send_setu"
02-21 00:16:13 [SUCCESS] nonebot | Succeeded to load plugin "send_setu_:update_setu" from "zhenxun.plugins.send_setu_.update_setu"
02-21 00:16:13 [SUCCESS] nonebot | Succeeded to load plugin "send_setu_" from "zhenxun.plugins.send_setu_"
02-21 00:16:13 [SUCCESS] nonebot | Succeeded to load plugin "moyu" from "zhenxun.plugins.moyu"
02-21 00:16:13 [SUCCESS] nonebot | Succeeded to load plugin "coser" from "zhenxun.plugins.coser"
02-21 00:16:13 [SUCCESS] nonebot | Succeeded to load plugin "pa" from "zhenxun.plugins.pa"
02-21 00:16:13 [SUCCESS] nonebot | Succeeded to load plugin "bilibili_sub" from "zhenxun.plugins.bilibili_sub"
02-21 00:16:14 [SUCCESS] nonebot | Succeeded to load plugin "draw_card" from "zhenxun.plugins.draw_card"
02-21 00:16:14 [SUCCESS] nonebot | Succeeded to load plugin "word_bank:read_word_bank" from "zhenxun.plugins.word_bank.read_word_bank"
02-21 00:16:14 [SUCCESS] nonebot | Succeeded to load plugin "word_bank:word_handle" from "zhenxun.plugins.word_bank.word_handle"
02-21 00:16:14 [SUCCESS] nonebot | Succeeded to load plugin "word_bank:message_handle" from "zhenxun.plugins.word_bank.message_handle"
02-21 00:16:14 [SUCCESS] nonebot | Succeeded to load plugin "word_bank" from "zhenxun.plugins.word_bank"
02-21 00:16:14 [SUCCESS] nonebot | Succeeded to load plugin "search_anime" from "zhenxun.plugins.search_anime"
02-21 00:16:14 [SUCCESS] nonebot | Succeeded to load plugin "one_friend" from "zhenxun.plugins.one_friend"
02-21 00:16:14 [SUCCESS] nonebot | Succeeded to load plugin "nbnhhsh" from "zhenxun.plugins.nbnhhsh"
02-21 00:16:14 [SUCCESS] nonebot | Succeeded to load plugin "russian" from "zhenxun.plugins.russian"
02-21 00:16:14 [SUCCESS] nonebot | Succeeded to load plugin "fudu" from "zhenxun.plugins.fudu"
02-21 00:16:14 [SUCCESS] nonebot | Succeeded to load plugin "nonebot_plugin_localstore"
02-21 00:16:15 [SUCCESS] nonebot | Succeeded to load plugin "nonebot_plugin_sparkapi" from "zhenxun.plugins.nonebot_plugin_sparkapi"
02-21 00:16:15 [SUCCESS] nonebot | Succeeded to load plugin "parse_bilibili" from "zhenxun.plugins.parse_bilibili"
02-21 00:16:15 [SUCCESS] nonebot | Succeeded to load plugin "translate" from "zhenxun.plugins.translate"
02-21 00:16:15 [SUCCESS] nonebot | Succeeded to load plugin "search_buff_skin_price" from "zhenxun.plugins.search_buff_skin_price"
02-21 00:16:15 [SUCCESS] nonebot | Succeeded to load plugin "epic" from "zhenxun.plugins.epic"
02-21 00:16:15 [SUCCESS] nonebot | Succeeded to load plugin "mute:mute_setting" from "zhenxun.plugins.mute.mute_setting"
02-21 00:16:15 [SUCCESS] nonebot | Succeeded to load plugin "mute:mute_message" from "zhenxun.plugins.mute.mute_message"
02-21 00:16:15 [SUCCESS] nonebot | Succeeded to load plugin "mute" from "zhenxun.plugins.mute"
02-21 00:16:15 [SUCCESS] nonebot | Succeeded to load plugin "poke" from "zhenxun.plugins.poke"
02-21 00:16:15 [SUCCESS] nonebot | Succeeded to load plugin "dialogue" from "zhenxun.plugins.dialogue"
02-21 00:16:15 [SUCCESS] nonebot | Succeeded to load plugin "roll" from "zhenxun.plugins.roll"
02-21 00:16:15 [SUCCESS] nonebot | Succeeded to load plugin "luxun" from "zhenxun.plugins.luxun"
02-21 00:16:15 [SUCCESS] nonebot | Succeeded to load plugin "image_management:move_image" from "zhenxun.plugins.image_management.move_image"
02-21 00:16:15 [SUCCESS] nonebot | Succeeded to load plugin "image_management:send_image" from "zhenxun.plugins.image_management.send_image"
02-21 00:16:15 [SUCCESS] nonebot | Succeeded to load plugin "image_management:upload_image" from "zhenxun.plugins.image_management.upload_image"
02-21 00:16:15 [SUCCESS] nonebot | Succeeded to load plugin "image_management:delete_image" from "zhenxun.plugins.image_management.delete_image"
02-21 00:16:15 [SUCCESS] nonebot | Succeeded to load plugin "image_management:image_management_log" from "zhenxun.plugins.image_management.image_management_log"
02-21 00:16:15 [SUCCESS] nonebot | Succeeded to load plugin "image_management" from "zhenxun.plugins.image_management"
02-21 00:16:15 [SUCCESS] nonebot | Succeeded to load plugin "mahiro_report" from "zhenxun.plugins.mahiro_report"
02-21 00:16:15 [SUCCESS] nonebot | Succeeded to load plugin "pid_search" from "zhenxun.plugins.pid_search"
02-21 00:16:15 [SUCCESS] nonebot | Running NoneBot...
02-21 00:16:15 [INFO] uvicorn | Started server process [6812]
02-21 00:16:15 [INFO] uvicorn | Waiting for application startup.
02-21 00:16:16 [INFO] zhenxun | Database loaded successfully!
02-21 00:16:16 [INFO] nonebot_plugin_apscheduler | Scheduler Started
02-21 00:16:23 [INFO] nonebot_plugin_htmlrender | 使用 chromium 启动
02-21 00:16:26 [INFO] nonebot_plugin_htmlrender | Browser Started.
02-21 00:16:34 [INFO] zhenxun | 已经加载 10 个插件限制.
02-21 00:16:34 [INFO] zhenxun | CMD[Web UI] API启动成功
02-21 00:16:34 [INFO] uvicorn | Application startup complete.
02-21 00:16:34 [INFO] uvicorn | Uvicorn running on http://127.0.0.1:8080 (Press CTRL+C to quit)
02-21 00:23:15 [INFO] uvicorn | ('127.0.0.1', 54780) - "WebSocket /onebot/v11/ws" [accepted]
02-21 00:23:15 [INFO] nonebot | OneBot V11 | Bot 3973508735 connected
02-21 00:23:15 [INFO] websockets | connection open
02-21 00:28:47 [SUCCESS] nonebot | OneBot V11 3973508735 | [message.private.friend]: Message 334157805 from 843298567 '[转账] 40.00元已转账成功，请使用手机QQ查看。'
02-21 00:28:47 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32)
02-21 00:28:47 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39)
02-21 00:28:47 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54)
02-21 00:28:47 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54) running complete
02-21 00:28:47 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32) running complete
02-21 00:28:47 [INFO] nonebot | Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39) running complete
02-21 00:28:48 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.nonebot_plugin_sparkapi.matchers.chat, lineno=39)
02-21 00:28:48 [INFO] zhenxun | 用户[843298567] CMD[ai] 问题：[转账] 40.00元已转账成功，请使用手机QQ查看。 ---- 回答：None
02-21 00:28:50 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.nonebot_plugin_sparkapi.matchers.chat, lineno=39) running complete
02-21 00:34:36 [SUCCESS] nonebot | OneBot V11 3973508735 | [message.group.normal]: Message 978433068 from 645842705@[群:546881717] '[at:qq=3973508735] 有无涩图'
02-21 00:34:36 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32)
02-21 00:34:36 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54)
02-21 00:34:37 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39)
02-21 00:34:37 [INFO] nonebot | Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39) running complete
02-21 00:34:37 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32) running complete
02-21 00:34:37 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54) running complete
02-21 00:34:37 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.nonebot_plugin_sparkapi.matchers.chat, lineno=39)
02-21 00:34:37 [INFO] zhenxun | current key is 涩图 the text is 有无涩图
02-21 00:34:37 [INFO] zhenxun | 用户[645842705] CMD[ai] 问题：有无涩图 ---- 回答：咱没有色图
02-21 00:34:37 [INFO] zhenxun | begin to build uni message!!!
02-21 00:34:37 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.nonebot_plugin_sparkapi.matchers.chat, lineno=39) running complete
02-21 00:35:05 [SUCCESS] nonebot | OneBot V11 3973508735 | [message.group.normal]: Message 1054216921 from 645842705@[群:546881717] '[reply:id=1777680548][at:qq=3973508735] 没有就现画'
02-21 00:35:05 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32)
02-21 00:35:06 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39)
02-21 00:35:06 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54)
02-21 00:35:06 [INFO] nonebot | Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39) running complete
02-21 00:35:06 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32) running complete
02-21 00:35:06 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54) running complete
02-21 00:35:06 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.nonebot_plugin_sparkapi.matchers.chat, lineno=39)
02-21 00:35:06 [INFO] zhenxun | 用户[645842705] CMD[ai] 问题：没有就现画 ---- 回答：None
02-21 00:35:08 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.nonebot_plugin_sparkapi.matchers.chat, lineno=39) running complete
02-21 00:35:44 [SUCCESS] nonebot | OneBot V11 3973508735 | [message.group.normal]: Message 1164383181 from 645842705@[群:546881717] '[reply:id=1299722593][at:qq=3973508735] 做不到就挨*'
02-21 00:35:44 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32)
02-21 00:35:44 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39)
02-21 00:35:44 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54)
02-21 00:35:44 [INFO] nonebot | Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39) running complete
02-21 00:35:44 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54) running complete
02-21 00:35:44 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32) running complete
02-21 00:35:44 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.nonebot_plugin_sparkapi.matchers.chat, lineno=39)
02-21 00:35:44 [INFO] zhenxun | 用户[645842705] CMD[ai] 问题：做不到就挨* ---- 回答：None
02-21 00:35:46 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.nonebot_plugin_sparkapi.matchers.chat, lineno=39) running complete
02-21 00:36:42 [SUCCESS] nonebot | OneBot V11 3973508735 | [message.group.normal]: Message 484251520 from 645842705@[群:546881717] "机器人被群风控了能解吗[face:id=285,raw={'faceIndex': 285, 'faceText': '/摸鱼', 'faceType': 2, 'packId': None...]"
02-21 00:36:42 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32)
02-21 00:36:43 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54)
02-21 00:36:43 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39)
02-21 00:36:43 [INFO] nonebot | Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39) running complete
02-21 00:36:43 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54) running complete
02-21 00:36:43 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32) running complete
02-21 00:36:43 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.fudu, lineno=97)
02-21 00:36:43 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.fudu, lineno=97) running complete
02-21 00:36:57 [SUCCESS] nonebot | OneBot V11 3973508735 | [message.group.normal]: Message 1009721339 from 645842705@[群:546881717] '我的不知道解了没'
02-21 00:36:57 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32)
02-21 00:36:57 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39)
02-21 00:36:57 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54)
02-21 00:36:57 [INFO] nonebot | Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39) running complete
02-21 00:36:57 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54) running complete
02-21 00:36:57 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32) running complete
02-21 00:36:57 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.fudu, lineno=97)
02-21 00:36:57 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.fudu, lineno=97) running complete
02-21 00:37:41 [SUCCESS] nonebot | OneBot V11 3973508735 | [message.group.normal]: Message 740074379 from 843298567@[群:546881717] '能解呀，手机qq登一下就好了'
02-21 00:37:41 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32)
02-21 00:37:41 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39)
02-21 00:37:41 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54)
02-21 00:37:41 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54) running complete
02-21 00:37:41 [INFO] nonebot | Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39) running complete
02-21 00:37:41 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32) running complete
02-21 00:37:41 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.fudu, lineno=97)
02-21 00:37:41 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.fudu, lineno=97) running complete
02-21 00:38:05 [SUCCESS] nonebot | OneBot V11 3973508735 | [message.group.normal]: Message 1976398954 from 645842705@[群:546881717] "明天看看，躺下了[face:id=75,raw={'faceIndex': 75, 'faceText': None, 'faceType': 1, 'packId': None, ...]"
02-21 00:38:05 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32)
02-21 00:38:05 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39)
02-21 00:38:05 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54)
02-21 00:38:05 [INFO] nonebot | Matcher(type='message', module=zhenxun.builtin_plugins.chat_history.chat_message, lineno=39) running complete
02-21 00:38:05 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.parse_bilibili, lineno=54) running complete
02-21 00:38:05 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.mute.mute_message, lineno=32) running complete
02-21 00:38:05 [INFO] nonebot | Event will be handled by Matcher(type='message', module=zhenxun.plugins.fudu, lineno=97)
02-21 00:38:05 [INFO] nonebot | Matcher(type='message', module=zhenxun.plugins.fudu, lineno=97) running complete
